pip_deg,jt_00,jt_01,jt_02,jt_03,jt_10,jt_11,jt_12,jt_13,jt_20,jt_21,jt_22,jt_23
60.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.041147329,-0.041147329,0.000000000,0.041147329
61.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.041205735,-0.041205735,0.000000000,0.041205735
62.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.041259240,-0.041259240,0.000000000,0.041259240
63.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.041307357,-0.041307357,0.000000000,0.041307357
64.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.041349580,-0.041349580,0.000000000,0.041349580
65.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.041385384,-0.041385384,0.000000000,0.041385384
66.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.041414223,-0.041414223,0.000000000,0.041414223
67.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.041435532,-0.041435532,0.000000000,0.041435532
68.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.041448725,-0.041448725,0.000000000,0.041448725
69.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.041453197,-0.041453197,0.000000000,0.041453197
70.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.041448325,-0.041448325,0.000000000,0.041448325
71.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.041433465,-0.041433465,0.000000000,0.041433465
72.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.041407959,-0.041407959,0.000000000,0.041407959
73.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.041371131,-0.041371131,0.000000000,0.041371131
74.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.041322291,-0.041322291,0.000000000,0.041322291
75.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.041260734,-0.041260734,0.000000000,0.041260734
76.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.041185749,-0.041185749,0.000000000,0.041185749
77.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.041096612,-0.041096612,0.000000000,0.041096612
78.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.040992597,-0.040992597,0.000000000,0.040992597
79.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.040872976,-0.040872976,0.000000000,0.040872976
80.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.040737022,-0.040737022,0.000000000,0.040737022
81.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.040584016,-0.040584016,0.000000000,0.040584016
82.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.040413249,-0.040413249,0.000000000,0.040413249
83.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.040224031,-0.040224031,0.000000000,0.040224031
84.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.040015693,-0.040015693,0.000000000,0.040015693
85.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.039787596,-0.039787596,0.000000000,0.039787596
86.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.039539139,-0.039539139,0.000000000,0.039539139
87.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.039269763,-0.039269763,0.000000000,0.039269763
88.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.038978961,-0.038978961,0.000000000,0.038978961
89.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.038666288,-0.038666288,0.000000000,0.038666288
90.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.038331365,-0.038331365,0.000000000,0.038331365
