q0_deg,q1_deg,q2_deg,x_m,y_m,z_m
-10.000000000,8.000000000,20.000000000,0.150904411,-0.019819235,0.048100118
-10.000000000,8.000000000,22.000000000,0.148715672,-0.019433301,0.045577426
-10.000000000,8.000000000,24.000000000,0.146401939,-0.019025328,0.043186002
-10.000000000,8.000000000,26.000000000,0.143970208,-0.018596548,0.040932199
-10.000000000,8.000000000,28.000000000,0.141427848,-0.018148261,0.038822207
-10.000000000,8.000000000,30.000000000,0.138782622,-0.017681837,0.036862009
-10.000000000,8.000000000,32.000000000,0.136042709,-0.017198716,0.035057324
-10.000000000,8.000000000,34.000000000,0.133216705,-0.016700416,0.033413560
-10.000000000,8.000000000,36.000000000,0.130313635,-0.016188526,0.031935758
-10.000000000,8.000000000,38.000000000,0.127342948,-0.015664714,0.030628538
-10.000000000,8.000000000,40.000000000,0.124314515,-0.015130719,0.029496047
-10.000000000,8.000000000,42.000000000,0.121238613,-0.014588355,0.028541892
-10.000000000,8.000000000,44.000000000,0.118125912,-0.014039501,0.027769090
-10.000000000,8.000000000,46.000000000,0.114987443,-0.013486105,0.027179999
-10.000000000,8.000000000,48.000000000,0.111834569,-0.012930168,0.026776260
-10.000000000,8.000000000,50.000000000,0.108678942,-0.012373746,0.026558733
-10.000000000,8.000000000,52.000000000,0.105532449,-0.011818934,0.026527431
-10.000000000,8.000000000,54.000000000,0.102407149,-0.011267860,0.026681468
-10.000000000,8.000000000,56.000000000,0.099315206,-0.010722666,0.027018989
-10.000000000,8.000000000,58.000000000,0.096268793,-0.010185502,0.027537127
-10.000000000,8.000000000,60.000000000,0.093280008,-0.009658498,0.028231949
-10.000000000,8.000000000,62.000000000,0.090360754,-0.009143755,0.029098420
-10.000000000,8.000000000,64.000000000,0.087522622,-0.008643316,0.030130373
-10.000000000,8.000000000,66.000000000,0.084776762,-0.008159147,0.031320499
-10.000000000,8.000000000,68.000000000,0.082133733,-0.007693109,0.032660342
-10.000000000,8.000000000,70.000000000,0.079603356,-0.007246935,0.034140327
-10.000000000,8.000000000,72.000000000,0.077194558,-0.006822199,0.035749800
-10.000000000,8.000000000,74.000000000,0.074915210,-0.006420289,0.037477095
-10.000000000,8.000000000,76.000000000,0.072771965,-0.006042377,0.039309631
-10.000000000,8.000000000,78.000000000,0.070770114,-0.005689397,0.041234037
-10.000000000,8.000000000,80.000000000,0.068913438,-0.005362014,0.043236304
-10.000000000,8.000000000,82.000000000,0.067204092,-0.005060611,0.045301971
-10.000000000,8.000000000,84.000000000,0.065642508,-0.004785261,0.047416333
-10.000000000,8.000000000,86.000000000,0.064227336,-0.004535728,0.049564679
-10.000000000,8.000000000,88.000000000,0.062955423,-0.004311456,0.051732550
-10.000000000,8.000000000,90.000000000,0.061821837,-0.004111574,0.053906003
-10.000000000,10.000000000,0.000000000,0.163845544,-0.022101106,0.074503946
-10.000000000,10.000000000,2.000000000,0.163122297,-0.021973578,0.071029670
-10.000000000,10.000000000,4.000000000,0.162215382,-0.021813665,0.067636825
-10.000000000,10.000000000,6.000000000,0.161132106,-0.021622654,0.064328304
-10.000000000,10.000000000,8.000000000,0.159878993,-0.021401696,0.061108184
-10.000000000,10.000000000,10.000000000,0.158462127,-0.021151864,0.057981350
-10.000000000,10.000000000,12.000000000,0.156887386,-0.020874195,0.054953243
-10.000000000,10.000000000,14.000000000,0.155160600,-0.020569716,0.052029684
-10.000000000,10.000000000,16.000000000,0.153287667,-0.020239468,0.049216741
-10.000000000,10.000000000,18.000000000,0.151274641,-0.019884517,0.046520632
-10.000000000,10.000000000,20.000000000,0.149127798,-0.019505970,0.043947641
-10.000000000,10.000000000,22.000000000,0.146853689,-0.019104984,0.041504049
-10.000000000,10.000000000,24.000000000,0.144459174,-0.018682766,0.039196076
-10.000000000,10.000000000,26.000000000,0.141951463,-0.018240589,0.037029821
-10.000000000,10.000000000,28.000000000,0.139338132,-0.017779788,0.035011210
-10.000000000,10.000000000,30.000000000,0.136627148,-0.017301769,0.033145947
-10.000000000,10.000000000,32.000000000,0.133826878,-0.016808005,0.031439459
-10.000000000,10.000000000,34.000000000,0.130946101,-0.016300047,0.029896843
-10.000000000,10.000000000,36.000000000,0.127994008,-0.015779513,0.028522820
-10.000000000,10.000000000,38.000000000,0.124980202,-0.015248098,0.027321672
-10.000000000,10.000000000,40.000000000,0.121914691,-0.014707565,0.026297192
-10.000000000,10.000000000,42.000000000,0.118807869,-0.014159749,0.025452622
-10.000000000,10.000000000,44.000000000,0.115670503,-0.013606547,0.024790598
-10.000000000,10.000000000,46.000000000,0.112513700,-0.013049917,0.024313087
-10.000000000,10.000000000,48.000000000,0.109348871,-0.012491872,0.024021325
-10.000000000,10.000000000,50.000000000,0.106187690,-0.011934471,0.023915758
-10.000000000,10.000000000,52.000000000,0.103042037,-0.011379807,0.023995981
-10.000000000,10.000000000,54.000000000,0.099923936,-0.010830002,0.024260678
-10.000000000,10.000000000,56.000000000,0.096845476,-0.010287186,0.024707565
-10.000000000,10.000000000,58.000000000,0.093818728,-0.009753489,0.025333346
-10.000000000,10.000000000,60.000000000,0.090855643,-0.009231017,0.026133661
-10.000000000,10.000000000,62.000000000,0.087967947,-0.008721839,0.027103056
-10.000000000,10.000000000,64.000000000,0.085167012,-0.008227958,0.028234958
-10.000000000,10.000000000,66.000000000,0.082463728,-0.007751296,0.029521666
-10.000000000,10.000000000,68.000000000,0.079868359,-0.007293663,0.030954357
-10.000000000,10.000000000,70.000000000,0.077390390,-0.006856730,0.032523112
-10.000000000,10.000000000,72.000000000,0.075038376,-0.006442006,0.034216966
-10.000000000,10.000000000,74.000000000,0.072819782,-0.006050808,0.036023984
-10.000000000,10.000000000,76.000000000,0.070740826,-0.005684232,0.037931356
-10.000000000,10.000000000,78.000000000,0.068806334,-0.005343129,0.039925531
-10.000000000,10.000000000,80.000000000,0.067019606,-0.005028081,0.041992376
-10.000000000,10.000000000,82.000000000,0.065382296,-0.004739379,0.044117360
-10.000000000,10.000000000,84.000000000,0.063894333,-0.004477011,0.046285773
-10.000000000,10.000000000,86.000000000,0.062553861,-0.004240649,0.048482961
-10.000000000,10.000000000,88.000000000,0.061357230,-0.004029651,0.050694585
-10.000000000,10.000000000,90.000000000,0.060299035,-0.003843063,0.052906886
-10.000000000,12.000000000,0.000000000,0.162968529,-0.021946465,0.069876777
-10.000000000,12.000000000,2.000000000,0.162126314,-0.021797959,0.066430248
